token_id	token_text
4460	 ప
4495	ని
4590	ర్
4734	్ర
5050	న్
5182	 క
5260	స్
5303	 వ
5476	 మ
5613	 అ
5636	ార
5948	ంద
6009	లు
6088	 స
6336	 చ
6529	లో
7160	కు
7404	్య
7872	 త
7950	ంచ
8058	ను
8186	క్
8273	ాల
8552	గా
8879	 ర
9068	ట్
9237	న్న
9345	ంది
9738	ారు
10276	 ఆ
10406	ించ
10600	తు
10651	 ప్ర
10693	ల్
11000	డు
11501	టి
11658	 చే
11692	 న
11721	డి
11915	రి
11927	 ఇ
12052	 ద
12061	రు
12231	 ఉ
12476	 బ
12603	కి
12816	త్
12997	ప్
13303	ాయ
13608	ంత
13661	 వి
13745	 గ
13748	 జ
13774	ంట
14229	ిన
14882	తి
14965	 ఎ
15776	మా
16040	ప్ప
16216	లి
16535	ండ
16925	ార్
17666	ంగా
17722	లా
17743	ము
17862	 ఈ
17894	సు
18401	ిత
18641	ంలో
18897	చ్
19091	ద్
19264	స్త
19350	టు
19501	ది
19690	 ని
19857	ాని
19906	ష్
20077	స్తు
20101	లే
20298	 స్
20380	సి
20432	ాలు
20553	న్ని
20671	 శ
20754	గు
20842	ాత
20921	చ్చ
21168	్యా
21203	ాయి
21260	నే
21701	దు
22432	 రా
22729	ంగ
22848	 తె
23147	 భ
23230	వు
23352	తో
23808	డ్
23822	 హ
23978	క్ష
24138	క్క
24317	వి
24430	టీ
24614	పు
24867	 కా
25069	ందు
25459	ండి
25469	మ్
25497	 ఏ
25564	ిక
25624	 సి
25648	 చె
25742	న్నారు
26239	ేశ
26357	ానికి
26865	ారి
26894	ైన
26905	 య
27819	రా
27833	్వ
27844	డా
28069	ళ్
28889	 సం
28894	న్‌
29174	లను
29323	 ఒ
29501	రో
29530	 కొ
29900	్రి
30093	వా
30114	 ఫ
30785	ెం
30812	మి
30831	 కూ
30880	ింది
31338	కో
31658	ాల్
31891	 పె
31936	ాన
32276	 సా
32386	ాడు
32662	 ము
32949	్రా
33426	కా
33501	స్‌
33637	 ను
33676	లకు
34284	 మీ
34560	 ల
34837	ప్పు
34997	 లే
35015	ర్‌
35341	 వె
35356	యా
35614	 కో
35633	 చేయ
35782	 సిని
35815	పో
35858	డం
36139	 గు
36151	త్త
36304	రీ
36588	 ఉన్న
36708	 ట
36994	జు
37192	ంటి
37444	ట్ట
37697	ారం
37783	లీ
38055	్‌
38066	పై
38126	ంతో
38267	యు
38524	రించ
38681	 కూడా
38794	 నా
39041	దా
39069	 సినిమా
39667	 మా
39674	పి
40222	ంటే
40226	గి
40333	కొ
40601	 పో
40618	 తీ
40915	సిన
40926	ంచి
40942	 అయ
40981	ష్ట
41029	 డ
41060	ట్‌
41140	మె
41208	 ఒక
41724	ూర్
41871	గ్
41930	బ్
42014	ారా
42244	 పా
42398	పీ
42424	ాలి
42601	 పరి
42653	 లో
42665	్రీ
42855	నా
43095	ాలను
43114	 మరి
43440	త్వ
43483	 చూ
43500	ల్ల
43574	 కే
43783	 వే
44263	సుకు
44353	 సమ
44456	 వచ్చ
44491	ంటు
44552	నీ
44604	వే
44672	ద్ద
44753	ట్టు
44766	ద్య
44768	 పు
44822	ాత్ర
45022	త్య
45152	 మొ
45249	యం
45485	రుగు
45619	ద్ధ
45678	యో
45770	జ్
46057	 కు
46067	నం
46152	 నిర్
46231	రం
46354	ంధ
46486	 అని
46643	ప్ర
46700	మైన
46793	 స్థ
46903	స్తుంది
46948	కే
46966	పా
47394	స్థ
47466	 అను
47676	 నే
47855	 వా
47975	బు
48028	ించారు
48351	ల్‌
48786	కీ
49072	మ్మ
49140	 అధ
49146	తుంది
49355	 తన
49488	 తెలు
49565	 మూ
49572	ంగ్
49594	డానికి
49628	 చి
49734	 వ్య
50025	 దీ
50047	స్తున్న
50320	 రో
50445	 తెలి
50718	సం
50821	మే
50825	సీ
51702	ాగ
51710	 రూ
51760	 వై
51829	 చేశ
51930	ించిన
52051	 బా
52399	వాత
52684	 సీ
52860	తా
52951	రకు
53123	ందుకు
53166	చి
53322	జా
53411	బా
53443	ట్టి
53612	ప్పుడు
53640	 కార్
53703	 చెప్ప
53863	 చిత
53990	 ఉండ
54002	య్య
54093	ల్లో
54106	సే
54156	 ఓ
54265	ట్లు
54523	వీ
55403	కోవ
55524	ితే
55564	 అవ
55895	 ధ
56326	స్ట
56381	 పొ
56439	 ప్రా
56615	రణ
57041	 మరియు
57663	 వీ
57809	ర్శ
57893	తం
58154	ాలని
58402	 సు
58500	 మన
59053	దేశ
59071	దే
59190	 అనే
59854	తున్న
60029	 పే
60245	ాలా
60436	ప్పటి
60469	డీ
60503	 ప్రభ
60524	ెల
60595	ంబ
60660	ూరు
60735	ులు
60737	రే
60749	 రాజ
61074	ర్థ
61337	క్కు
61372	చే
61459	యన
61591	ండా
61600	ించి
61671	క్తి
61801	ిల్
61894	 ఇది
61979	క్ర
62108	 చేసి
62132	చు
